what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1322639902365
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1322639902380
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1322639902388
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1322639902403
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1322639902422
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1322639902428
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1322639902439
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1322639902453
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1322639902457
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1322639902462
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1322639902476
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1322639902491
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1322639902505
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1322639902505
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1322639902522
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1322639902534
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1322639902541
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322639902556
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322639902569
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322639902589
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322639902590
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1322639902631
os,sysinfo,,,"macosx",1322639902634
arch,sysinfo,,,"x86_64",1322639902634
ws,sysinfo,,,"cocoa",1322639902634
locale,sysinfo,,,"en_US",1322639902634
processors,sysinfo,,,"2",1322639902634
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322639902634
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1322639902634
java.specification.name,sysinfo,,,"Java Platform API Specification",1322639902634
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322639902634
java.specification.version,sysinfo,,,"1.6",1322639902634
java.vendor,sysinfo,,,"Apple Inc.",1322639902634
java.version,sysinfo,,,"1.6.0_26",1322639902634
java.vm.info,sysinfo,,,"mixed mode",1322639902634
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322639902634
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322639902634
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322639902634
java.vm.specification.version,sysinfo,,,"1.0",1322639902634
java.vm.vendor,sysinfo,,,"Apple Inc.",1322639902634
java.vm.version,sysinfo,,,"20.1-b02-383",1322639902634
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1322639902645
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1322639903894
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1322639904212
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1322639904704
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1322639904826
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322639905251
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1322639905350
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1322639905366
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1322639905381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322639907680
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1322639908299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322639909923
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322639910184
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1322639910965
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1322639910998
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1322639911397
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1322639911420
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1322639911449
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1322639911486
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1322639911544
